3905.8906750000 0.9988540000 0.0006450000 ASTEP 1.636 12815
3905.8913960000 1.0000560000 0.0006490000 ASTEP 1.639 12152
3905.8921180000 0.9981360000 0.0006590000 ASTEP 1.641 11514
3905.8928400000 0.9985760000 0.0006560000 ASTEP 1.644 10919
3905.8935610000 0.9978900000 0.0006620000 ASTEP 1.646 10377
3905.8942830000 0.9988530000 0.0006560000 ASTEP 1.648 9856
3905.8950040000 0.9973650000 0.0006620000 ASTEP 1.651 9352
3905.8957260000 0.9951230000 0.0006500000 ASTEP 1.653 8873
3905.8964470000 0.9973700000 0.0006470000 ASTEP 1.656 8430
3905.8971690000 1.0019440000 0.0006550000 ASTEP 1.658 8022
3905.8978910000 1.0036050000 0.0006660000 ASTEP 1.661 7636
3905.8986120000 0.9991400000 0.0006740000 ASTEP 1.663 7255
3905.8993340000 0.9959290000 0.0006750000 ASTEP 1.666 6896
3905.9000550000 0.9968200000 0.0006780000 ASTEP 1.668 6543
3905.9007770000 0.9953320000 0.0007050000 ASTEP 1.671 6216
3905.9014980000 1.0007760000 0.0007210000 ASTEP 1.673 5923
3905.9022200000 1.0070510000 0.0007030000 ASTEP 1.676 5635
3905.9029420000 0.9975840000 0.0006780000 ASTEP 1.679 5356
3905.9036630000 1.0006600000 0.0006750000 ASTEP 1.681 5100
3905.9043850000 0.9939330000 0.0006900000 ASTEP 1.684 4867
3905.9051060000 1.0033870000 0.0007050000 ASTEP 1.686 4644
3905.9058280000 1.0024060000 0.0007050000 ASTEP 1.689 4428
3905.9065490000 1.0002120000 0.0006970000 ASTEP 1.691 4221
3905.9072710000 0.9998780000 0.0006940000 ASTEP 1.694 4024
3905.9079930000 1.0014020000 0.0006990000 ASTEP 1.696 3838
3905.9087140000 1.0052170000 0.0006980000 ASTEP 1.699 3666
3905.9094360000 1.0012410000 0.0007010000 ASTEP 1.702 3505
3905.9101570000 0.9971870000 0.0006960000 ASTEP 1.704 3366
3905.9108790000 1.0000000000 0.0006960000 ASTEP 1.707 3245
3905.9116010000 1.0033070000 0.0007030000 ASTEP 1.710 3130
3905.9123220000 0.9983990000 0.0006890000 ASTEP 1.712 3020
3905.9130440000 1.0020960000 0.0006960000 ASTEP 1.715 2901
3905.9137650000 0.9969410000 0.0006830000 ASTEP 1.717 2800
3905.9144870000 1.0026810000 0.0006950000 ASTEP 1.720 2714
3905.9152080000 1.0005730000 0.0006850000 ASTEP 1.723 2618
3905.9159300000 0.9996330000 0.0006820000 ASTEP 1.725 2525
3905.9166520000 1.0023330000 0.0006870000 ASTEP 1.728 2427
3905.9173730000 0.9957440000 0.0007000000 ASTEP 1.731 2342
3905.9180950000 1.0021450000 0.0006850000 ASTEP 1.733 2258
3905.9188170000 1.0007100000 0.0006820000 ASTEP 1.736 2169
3905.9195380000 0.9969120000 0.0006770000 ASTEP 1.739 2076
3905.9202600000 1.0006150000 0.0006830000 ASTEP 1.741 1984
3905.9209820000 0.9990950000 0.0006910000 ASTEP 1.744 1901
3905.9217030000 0.9933590000 0.0006900000 ASTEP 1.747 1846
3905.9224250000 0.9992690000 0.0006960000 ASTEP 1.750 1782
3905.9231460000 0.9987540000 0.0006730000 ASTEP 1.752 1729
3905.9238680000 0.9986320000 0.0006720000 ASTEP 1.755 1674
3905.9245900000 1.0001370000 0.0006770000 ASTEP 1.758 1612
3905.9253110000 0.9985660000 0.0006700000 ASTEP 1.760 1575
3905.9260330000 0.9985100000 0.0006750000 ASTEP 1.763 1544
3905.9267540000 1.0013400000 0.0006710000 ASTEP 1.766 1514
3905.9274760000 0.9967660000 0.0006720000 ASTEP 1.769 1476
3905.9281980000 1.0033260000 0.0006720000 ASTEP 1.771 1453
3905.9289190000 0.9985620000 0.0006750000 ASTEP 1.774 1423
3905.9296410000 1.0000090000 0.0006700000 ASTEP 1.777 1395
3905.9303620000 1.0009230000 0.0006660000 ASTEP 1.780 1360
3905.9310840000 1.0007820000 0.0006650000 ASTEP 1.782 1327
3905.9318060000 1.0041280000 0.0006670000 ASTEP 1.785 1287
3905.9325270000 0.9976800000 0.0006620000 ASTEP 1.788 1243
3905.9332490000 0.9985690000 0.0006650000 ASTEP 1.791 1219
3905.9339710000 1.0024920000 0.0006870000 ASTEP 1.794 1195
3905.9346920000 1.0047570000 0.0007040000 ASTEP 1.796 1181
3905.9354140000 0.9998820000 0.0006770000 ASTEP 1.799 1158
3905.9361350000 0.9978310000 0.0006750000 ASTEP 1.802 1136
3905.9368570000 1.0014960000 0.0006870000 ASTEP 1.805 1130
3905.9375780000 1.0011030000 0.0006800000 ASTEP 1.808 1117
3905.9383000000 0.9986580000 0.0006680000 ASTEP 1.810 1128
3905.9390220000 0.9983520000 0.0006680000 ASTEP 1.813 1140
3905.9397430000 0.9935910000 0.0006670000 ASTEP 1.816 1148
3905.9404650000 0.9987650000 0.0006690000 ASTEP 1.819 1137
3905.9411860000 1.0000520000 0.0006680000 ASTEP 1.822 1121
3905.9419080000 1.0031340000 0.0006820000 ASTEP 1.825 1122
3905.9426290000 1.0011580000 0.0007180000 ASTEP 1.827 1143
3905.9433510000 0.9997680000 0.0007260000 ASTEP 1.830 1146
3905.9440730000 0.9966530000 0.0006850000 ASTEP 1.833 1140
3905.9447940000 1.0021020000 0.0006800000 ASTEP 1.836 1123
3905.9455160000 0.9999130000 0.0007000000 ASTEP 1.839 1085
3905.9462380000 0.9999740000 0.0006830000 ASTEP 1.842 1048
