time flux flux_err
1544.5562652751 nan nan
1544.5770987004 nan nan
1544.5979321255 nan nan
1544.6187655503 nan nan
1544.6395989748 nan nan
1544.6604323990 nan nan
1544.7020992466 nan nan
1544.7229326699 nan nan
1544.7437660929 nan nan
1544.7645995155 nan nan
1544.7854329378 nan nan
1544.8062663598 nan nan
1544.8270997814 nan nan
1545.0146005583 0.9985049969 0.0008621287
1545.0354339759 1.0003683320 0.0008621496
1545.0562673931 1.0008319248 0.0008621453
1545.0771008098 1.0024551076 0.0008621249
1545.0979342261 1.0002344378 0.0008621371
1545.1187676420 0.9999108458 0.0008621225
1545.1396010574 1.0007193214 0.0008621097
1545.1604344723 1.0010689045 0.0008621269
1545.1812678868 1.0000836833 0.0008621466
1545.2646015400 0.9993778134 0.0008621581
1545.2854349522 0.9996880103 0.0008621787
1545.3062683638 1.0003413303 0.0008621665
1545.3271017749 0.9994160439 0.0008621698
1545.3479351856 1.0011132848 0.0008621878
1545.3687685957 0.9987795665 0.0008621916
1545.3896020054 0.9997639554 0.0008621738
1545.4104354145 0.9996419048 0.0008621738
1545.4312688231 0.9998249063 0.0008621862
1545.4521022313 1.0003438579 0.0008621747
1545.4729356389 0.9999380817 0.0008621930
1545.4937690460 1.0009530253 0.0008621906
1545.5146024526 1.0003139051 0.0008622080
1545.5354358587 1.0000974703 0.0008622235
1545.5562692642 0.9984660962 0.0008622156
1545.5771026692 1.0004967073 0.0008622027
1545.5979360737 1.0002604864 0.0008621732
1545.6187694776 0.9995068340 0.0008621596
1545.6396028810 0.9982447150 0.0008621531
1545.6604362839 0.9990007065 0.0008621560
1545.6812696862 1.0006093547 0.0008621551
1545.7021030880 0.9991984826 0.0008621336
1545.7229364893 0.9990312671 0.0008621354
1545.7437698900 1.0003727419 0.0008621337
1545.7646032901 1.0011155661 0.0008621209
1545.7854366898 1.0011032617 0.0008621489
1545.8062700888 1.0000771443 0.0008621507
1545.8271034873 1.0006061880 0.0008621447
1545.8479368852 1.0002753372 0.0008621474
1545.8687702826 0.9997967631 0.0008621551
1545.8896036794 1.0008012547 0.0008621712
1545.9104370757 1.0013174648 0.0008621803
1545.9312704714 0.9993320092 0.0008621882
1545.9521038665 1.0005555803 0.0008621943
1545.9729372611 0.9997614786 0.0008621936
1545.9937706551 0.9997132836 0.0008622058
1546.0146040485 0.9984772744 0.0008621805
