time flux flux_err
1521.8059495574 1.0001659813 0.0008166602
1521.8267834826 0.9992660225 0.0008166768
1521.8476174072 1.0002651437 0.0008166802
1521.8684513312 1.0002245492 0.0008166829
1521.8892852546 0.9991485863 0.0008166726
1521.9101191773 0.9993651878 0.0008166681
1521.9309530995 0.9990206857 0.0008166591
1521.9517870210 1.0009325099 0.0008166574
1521.9726209419 1.0000319987 0.0008166491
1521.9934548623 1.0007829603 0.0008166617
1522.0142887819 0.9993680013 0.0008166611
1522.0351227010 0.9996534747 0.0008166677
1522.0559566195 1.0006058846 0.0008166807
1522.0767905373 0.9991654012 0.0008166856
1522.0976244546 1.0014864653 0.0008166976
1522.1184583712 1.0000287229 0.0008167088
1522.1392922872 0.9997808512 0.0008166921
1522.1601262026 1.0004147398 0.0008167011
1522.1809601173 0.9991302223 0.0008167049
1522.2017940315 1.0016399207 0.0008167115
1522.2226279450 1.0005271733 0.0008167212
1522.2434618579 0.9993188050 0.0008167091
1522.2642957702 0.9979550650 0.0008166950
1522.2851296818 1.0000100477 0.0008166971
1522.3059635929 0.9993398476 0.0008167142
1522.3267975033 0.9999057016 0.0008167116
1522.3476314131 0.9997139852 0.0008166913
1522.3684653223 0.9989857766 0.0008166772
1522.3892992308 1.0005276197 0.0008166792
1522.4101331387 0.9999622102 0.0008166681
1522.4309670460 0.9993250588 0.0008166719
1522.4518009527 0.9991924198 0.0008166690
1522.4726348587 1.0007483191 0.0008166521
1522.4934687641 1.0010137130 0.0008166433
1522.5143026689 1.0002272190 0.0008166535
1522.5351365731 0.9993637517 0.0008166569
1522.5559704766 1.0000488931 0.0008166449
1522.5768043795 0.9995992990 0.0008166349
1522.5976382817 1.0006173542 0.0008166341
1522.6184721834 0.9996958405 0.0008166205
1522.6393060843 1.0009215912 0.0008166148
1522.6601399847 0.9992148539 0.0008166113
1522.6809738844 1.0001614210 0.0008166307
1522.7018077836 0.9999093193 0.0008166471
1522.7226416820 0.9982089486 0.0008166366
1522.7434755799 1.0009535865 0.0008166560
1522.7643094770 1.0001965303 0.0008166643
1522.7851433736 0.9999922012 0.0008166610
1522.8059772695 0.9993297866 0.0008166514
1522.8268111648 0.9995155921 0.0008166433
1522.8476450595 1.0006599392 0.0008166481
1522.8684789535 1.0017193176 0.0008166406
1522.8893128468 1.0000225426 0.0008166406
1522.9101467396 1.0009165194 0.0008166308
1522.9309806316 0.9997693219 0.0008166289
1522.9518145231 1.0006063092 0.0008166502
1522.9726484139 0.9999327410 0.0008166619
1522.9934823041 0.9994551790 0.0008166735
1523.0143161936 0.9993639974 0.0008166657
1523.0351500825 0.9993359277 0.0008166700
1523.0559839707 0.9989972406 0.0008166866
1523.0768178583 0.9987581729 0.0008166762
1523.0976517452 0.9997918637 0.0008166997
1523.1184856315 1.0006828141 0.0008167026
1523.1393195171 0.9989907816 0.0008166914
1523.1601534022 0.9999875425 0.0008167089
1523.1809872865 0.9999703406 0.0008167063
1523.2018211702 1.0001329687 0.0008167186
1523.2226550532 1.0014862101 0.0008167139
1523.2434889357 1.0009350912 0.0008167112
1523.2643228174 1.0007798552 0.0008166914
1523.2851566985 0.9997161527 0.0008166873
1523.3059905789 1.0021228861 0.0008166898
1523.3268244587 1.0015793857 0.0008166887
1523.3476583379 1.0005865838 0.0008166850
1523.3684922164 1.0007341511 0.0008166785
1523.3893260942 1.0009670161 0.0008166863
1523.4101599713 1.0000956902 0.0008166795
1523.4309938478 0.9992228275 0.0008166752
1523.4518277237 1.0006665551 0.0008166535
1523.4726615989 1.0011833679 0.0008166734
1523.4934954734 0.9997378507 0.0008166864
1523.5143293473 1.0005555270 0.0008166956
1523.5351632205 1.0003581602 0.0008166757
1523.5559970931 1.0006140705 0.0008166788
1523.5768309650 1.0003482872 0.0008166821
1523.5976648362 1.0004023453 0.0008166788
1523.6184987068 0.9997866115 0.0008166782
1523.6601664459 0.9987964484 0.0008166709
1523.6810003144 0.9997178909 0.0008166737
1523.7018341824 1.0004470690 0.0008166723
1523.7226680496 0.9991814473 0.0008166701
1523.7435019161 0.9995595542 0.0008166734
1523.7643357820 0.9978406682 0.0008166652
1523.7851696473 1.0013506407 0.0008166671
1523.8060035118 0.9999401798 0.0008166465
1523.8268373757 0.9998513399 0.0008166371
1523.8476712389 1.0008374604 0.0008166337
1523.8685051014 0.9991102546 0.0008166377
1523.8893389633 1.0001170196 0.0008166274
1523.9101728245 0.9980008427 0.0008166471
