time flux flux_err
3718.1420917918 nan nan
3718.1434807101 nan nan
3718.1448696281 nan nan
3718.1462585464 nan nan
3718.1476474647 nan nan
3718.1490363827 nan nan
3718.1504253010 nan nan
3718.1518142190 nan nan
3718.1532031373 nan nan
3718.1545920555 nan nan
3718.1559809736 nan nan
3718.1573698919 nan nan
3718.1587588099 nan nan
3718.1601477282 nan nan
3718.1615366462 nan nan
3718.1629255645 nan nan
3718.1643144825 nan nan
3718.1657034008 nan nan
3718.1670923188 nan nan
3718.1684812371 nan nan
3718.1698701551 nan nan
3718.1712590734 nan nan
3718.1726479914 nan nan
3718.1740369097 nan nan
3718.1754258277 nan nan
3718.1768147460 nan nan
3718.1782036641 nan nan
3718.1795925823 nan nan
3718.1809815004 nan nan
3718.1823704186 nan nan
3718.1837593367 nan nan
3718.1851482549 nan nan
3718.1865371730 nan nan
3718.1879260910 nan nan
3718.1893150093 nan nan
3718.1907039273 nan nan
3718.1920928456 nan nan
3718.1934817636 nan nan
3718.1948706817 nan nan
3718.1962595999 nan nan
3718.1976485180 nan nan
3718.1990374360 nan nan
3718.2004263543 nan nan
3718.2018152723 nan nan
3718.2032041904 nan nan
3718.2045931086 nan nan
3718.2059820267 nan nan
3718.2073709447 nan nan
3718.2087598630 nan nan
3718.2101487810 nan nan
3718.2115376991 nan nan
3718.2129266173 nan nan
3718.2143155354 nan nan
3718.2157044534 nan nan
3718.2170933714 nan nan
3718.2184822897 nan nan
3718.2198712078 nan nan
3718.2212601258 nan nan
3718.2226490438 nan nan
3718.2240379621 nan nan
3718.2254268801 nan nan
3718.2268157982 nan nan
3718.2282047162 nan nan
3718.2295936345 nan nan
3718.2309825525 nan nan
3718.2323714706 nan nan
3718.2337603886 nan nan
3718.2351493066 nan nan
3718.2365382247 nan nan
3718.2379271429 nan nan
3718.2393160610 nan nan
3718.2407049790 nan nan
3718.2420938971 nan nan
3718.2434828151 nan nan
3718.2448717331 nan nan
3718.2462606512 nan nan
3718.2476495694 nan nan
3718.2490384875 nan nan
3718.2504274055 nan nan
3718.2518163236 nan nan
3718.2532052416 nan nan
3718.2545941596 nan nan
3718.2559830777 nan nan
3718.2573719957 nan nan
3718.2587609137 nan nan
3718.2601498318 nan nan
3718.2615387498 nan nan
3718.2629276679 nan nan
3718.2643165859 nan nan
3718.2657055042 nan nan
3718.2670944222 nan nan
3718.2684833402 nan nan
3718.2698722583 nan nan
3718.2712611763 nan nan
3718.2726500944 nan nan
3718.2740390124 nan nan
3718.2754279304 nan nan
3718.2768168485 nan nan
3718.2782057663 nan nan
3718.2795946843 nan nan
3718.2809836024 nan nan
3718.2823725204 nan nan
3718.2837614384 nan nan
3718.2851503565 nan nan
3718.2865392745 nan nan
3718.2879281925 nan nan
3718.2893171106 nan nan
3718.2907060286 nan nan
3718.2920949467 nan nan
3718.2934838647 nan nan
3718.2948727827 nan nan
3718.2962617005 nan nan
3718.2976506186 nan nan
3718.2990395366 nan nan
3718.3004284546 nan nan
3718.3018173727 nan nan
3718.3032062907 nan nan
3718.3045952088 nan nan
3718.3059841266 nan nan
3718.3073730446 nan nan
3718.3087619626 nan nan
3718.3101508807 nan nan
3718.3115397987 nan nan
3718.3129287165 nan nan
3718.3143176346 nan nan
3718.3157065526 nan nan
3718.3170954706 nan nan
3718.3184843887 nan nan
3718.3198733065 nan nan
3718.3212622245 nan nan
3718.3226511426 nan nan
3718.3240400606 nan nan
3718.3254289784 nan nan
3718.3268178964 nan nan
3718.3282068145 nan nan
3718.3295957325 nan nan
3718.3309846503 nan nan
3718.3323735684 nan nan
3718.3337624864 nan nan
3718.3351514042 nan nan
3718.3365403222 nan nan
3718.3379292403 nan nan
3718.3393181581 nan nan
3718.3407070761 nan nan
3718.3420959942 nan nan
3718.3434849120 nan nan
3718.3448738300 nan nan
3718.3462627480 nan nan
3718.3476516658 nan nan
3718.3490405839 nan nan
3718.3504295019 nan nan
3718.3518184197 nan nan
