time flux flux_err
2282.6809479977 nan nan
2282.6878924128 nan nan
2282.6948368278 nan nan
2282.7017812428 nan nan
2282.7087256579 nan nan
2282.7156700727 nan nan
2282.7226144874 nan nan
2282.7295589021 nan nan
2282.7365033168 nan nan
2282.7434477315 nan nan
2282.7503921462 nan nan
2282.7573365607 nan nan
2282.7642809750 nan nan
2282.7712253894 nan nan
2282.7781698037 nan nan
2282.7851142180 nan nan
2282.7920586324 nan nan
2282.7990030465 nan nan
2282.8059474605 nan nan
2282.8128918745 nan nan
2282.8198362885 nan nan
2282.8267807025 nan nan
2282.8337251165 nan nan
2282.8406695303 nan nan
2282.8476139439 nan nan
2282.8545583575 nan nan
2282.8615027711 nan nan
2282.8684471848 nan nan
2282.8753915984 nan nan
2282.8823360118 nan nan
2282.8892804251 nan nan
2282.8962248384 nan nan
2282.9031692516 nan nan
2282.9101136649 nan nan
2282.9170580781 nan nan
2282.9240024912 nan nan
2282.9309469041 nan nan
2282.9378913170 nan nan
2282.9448357299 nan nan
2282.9517801428 nan nan
2282.9587245557 nan nan
2282.9656689684 nan nan
2282.9726133809 nan nan
2282.9795577934 nan nan
2282.9865022060 1.0006065866 0.0015806001
2282.9934466185 1.0009994588 0.0015805867
2283.0003910310 0.9978608300 0.0015805738
2283.0073354433 1.0008607504 0.0015805695
2283.0142798555 1.0003321907 0.0015805663
2283.0212242676 1.0018874011 0.0015805840
2283.0281686798 0.9996015241 0.0015805917
2283.0351130919 1.0013787864 0.0015806061
2283.0420575041 1.0010604308 0.0015805868
2283.0490019160 0.9997554179 0.0015805686
2283.0559463278 1.0009170457 0.0015805490
2283.0628907396 0.9987852787 0.0015805410
2283.0698351514 0.9993757427 0.0015805229
2283.0767795631 1.0010791630 0.0015805302
2283.0837239749 0.9984010646 0.0015805410
2283.0906683865 1.0014120477 0.0015805532
2283.0976127979 0.9992401691 0.0015805370
2283.1045572093 0.9980024888 0.0015805383
2283.1115016207 1.0010576149 0.0015805257
