time flux flux_err
2989.5022217571 nan nan
2989.5045366191 nan nan
2989.5068514812 nan nan
2989.5091663432 nan nan
2989.5114812053 nan nan
2989.5137960673 nan nan
2989.5161109293 nan nan
2989.5184257914 nan nan
2989.5207406534 nan nan
2989.5230555154 nan nan
2989.5253703775 nan nan
2989.5276852395 nan nan
2989.5300001015 nan nan
2989.5323149636 nan nan
2989.5346298256 nan nan
2989.5369446876 nan nan
2989.5392595497 nan nan
2989.5415744117 nan nan
2989.5438892738 nan nan
2989.5462041358 nan nan
2989.5485189978 nan nan
2989.5508338598 nan nan
2989.5531487219 nan nan
2989.5554635839 nan nan
2989.5577784459 nan nan
2989.5600933079 nan nan
2989.5624081700 nan nan
2989.5647230320 nan nan
2989.5670378940 nan nan
2989.5693527561 nan nan
2989.5716676181 nan nan
2989.5739824801 nan nan
2989.5762973421 nan nan
2989.5786122042 nan nan
2989.5809270662 nan nan
2989.5832419282 nan nan
2989.5855567902 nan nan
2989.5878716523 nan nan
2989.5901865143 nan nan
2989.5925013763 nan nan
2989.5948162383 nan nan
2989.5971311003 nan nan
2989.5994459623 nan nan
2989.6017608243 nan nan
2989.6040756863 nan nan
2989.6063905483 nan nan
2989.6087054103 nan nan
2989.6110202723 nan nan
2989.6133351344 nan nan
2989.6156499964 nan nan
2989.6179648584 nan nan
2989.6202797204 nan nan
2989.6225945824 nan nan
2989.6249094444 nan nan
2989.6272243064 nan nan
2989.6295391684 nan nan
2989.6318540304 nan nan
2989.6341688924 nan nan
2989.6364837544 nan nan
2989.6387986164 nan nan
2989.6411134783 nan nan
2989.6434283403 nan nan
2989.6457432023 nan nan
2989.6480580643 nan nan
2989.6503729263 nan nan
2989.6526877883 nan nan
2989.6550026503 nan nan
2989.6573175122 nan nan
2989.6596323742 nan nan
2989.6619472362 nan nan
2989.6642620982 nan nan
2989.6665769602 nan nan
2989.6688918222 nan nan
2989.6712066841 nan nan
2989.6735215461 nan nan
2989.6758364081 nan nan
2989.6781512700 nan nan
2989.6804661320 nan nan
2989.6827809939 nan nan
2989.6850958559 nan nan
2989.6874107178 nan nan
2989.6897255798 nan nan
2989.6920404418 nan nan
2989.6943553037 nan nan
2989.6966701657 nan nan
2989.6989850276 nan nan
2989.7012998896 nan nan
2989.7036147515 nan nan
2989.7059296135 nan nan
2989.7082444754 nan nan
2989.7105593374 nan nan
2989.7128741993 nan nan
2989.7151890613 nan nan
2989.7175039232 nan nan
2989.7198187851 nan nan
2989.7221336470 nan nan
2989.7244485090 nan nan
2989.7267633709 nan nan
2989.7290782328 nan nan
2989.7313930947 nan nan
2989.7337079566 nan nan
2989.7360228186 nan nan
