time flux flux_err
2256.3265729599 nan nan
2256.3335175755 nan nan
2256.3404621910 nan nan
2256.3474068063 nan nan
2256.3543514216 nan nan
2256.3612960370 nan nan
2256.3682406523 nan nan
2256.3751852676 nan nan
2256.3890744979 nan nan
2256.3960191129 nan nan
2256.4099083430 nan nan
2256.4168529581 nan nan
2256.4307421877 nan nan
2256.4376868025 nan nan
2256.4446314173 nan nan
2256.4515760320 nan nan
2256.4585206468 nan nan
2256.4654652614 nan nan
2256.4724098759 nan nan
2256.4932437193 nan nan
2256.5001883338 nan nan
2256.5071329481 nan nan
2256.5140775622 nan nan
2256.5279667906 nan nan
2256.5349114047 nan nan
2256.5418560189 nan nan
2256.5557452467 nan nan
2256.5626898606 nan nan
2256.5696344744 nan nan
2256.5765790883 nan nan
2256.5835237021 nan nan
2256.5904683158 nan nan
2256.5974129293 nan nan
2256.6043575429 nan nan
2256.6113021564 nan nan
2256.6251913834 nan nan
2256.6321359968 1.0026840235 0.0016010570
2256.6460252232 1.0006079273 0.0016010156
2256.6599144496 0.9966733115 0.0016010258
2256.6668590628 1.0008952325 0.0016010229
2256.6738036758 1.0014664286 0.0016010154
2256.6876929015 0.9978681506 0.0016010567
2256.6946375144 1.0014035029 0.0016010330
2256.7015821272 1.0016540641 0.0016010567
2256.7085267401 0.9981662687 0.0016010567
2256.7154713528 0.9999731758 0.0016010472
2256.7224159653 0.9966284058 0.0016010430
2256.7293605778 1.0005269409 0.0016010215
2256.7363051903 1.0003981219 0.0016010482
2256.7432498028 1.0002132088 0.0016010529
2256.7571390277 1.0002973258 0.0016010446
2256.7640836398 0.9982970531 0.0016010545
2256.7710282520 0.9986447966 0.0016010321
2256.7779728642 1.0006543535 0.0016010416
2256.7849174763 0.9978141386 0.0016010473
2256.7918620885 1.0009028661 0.0016010387
2256.8057513123 0.9989070840 0.0016010550
2256.8126959241 1.0002691062 0.0016010507
2256.8335297595 0.9992119883 0.0016010243
2256.8404743712 1.0011444580 0.0016010088
2256.8474189826 1.0003012678 0.0016009890
2256.8543635941 1.0008581720 0.0016009743
2256.8613082055 0.9977720624 0.0016009772
2256.8682528170 1.0002015266 0.0016009772
